company,no_of_salaries,avg_salary,min_salary,max_salary
Bounce,2,-1,₹31K,₹34K
Cisco Systems,2,-1,"₹1,480K","₹1,694K"
Dell Technologies,2,-1,₹54K,₹188K
ATCS,2,-1,₹495K,₹827K
1mg,2,-1,₹34K,₹52K
GE Healthcare,2,-1,₹26K,₹68K
Shell,2,-1,"₹4,246K","₹4,677K"
Antuit,2,-1,₹763K,"₹1,614K"
Neustar,2,-1,"₹1,554K","₹2,056K"
Franklin Templeton Investments,2,-1,"₹1,133K","₹1,813K"
Cyient,2,-1,₹15K,₹51K
Bewakoof Brands,2,-1,₹581K,₹840K
Genpact,2,-1,₹44K,₹86K
Bajaj Finance,2,-1,₹872K,"₹2,023K"
Yash Technologies,2,-1,₹30K,₹37K
Deloitte,2,-1,₹52K,₹56K
MSCI,2,-1,₹58K,₹62K
Cognizant Technology Solutions,2,-1,₹30K,₹42K
Atos-Syntel,2,-1,₹391K,₹878K
Prudent Technologies & Consulting,2,-1,₹140K,₹741K
MindBowser Info Solutions,2,-1,₹257K,₹283K
Ingram Micro,2,-1,"₹1,873K","₹2,648K"
XYZ Tech,2,-1,₹574K,"₹1,238K"
Bristlecone,2,-1,₹63K,₹67K
GE Digital,2,-1,₹848K,"₹1,676K"
Bharat Heavy Electricals,2,-1,"₹1,539K","₹1,709K"
Karza Technologies,2,-1,₹14K,₹17K
Naukri.com,2,-1,"₹2,399K","₹2,575K"
Zebra Technologies,2,-1,₹767K,"₹1,256K"
Nokia,2,-1,₹627K,₹684K
Artivatic Data Labs,2,-1,₹451K,₹535K
Boeing,2,-1,"₹1,950K","₹2,469K"
Embibe,2,-1,₹26K,₹32K
HDFC Standard Life Insurance,2,-1,"₹1,028K","₹2,737K"
TransOrg Analytics,2,-1,₹704K,₹925K
FarmGuide,2,-1,₹503K,"₹1,551K"
ParallelDots,2,-1,₹463K,₹639K
Credit Suisse,2,-1,₹141K,"₹1,424K"
Busigence Technologies,2,-1,₹26K,₹29K
American Express,2,-1,"₹1,699K","₹1,960K"
Humonics,2,-1,₹300K,"₹1,756K"
Rolls-Royce,2,-1,"₹1,246K","₹1,392K"
Quantiphi,2,-1,₹12K,₹34K
Yodlee,2,-1,"₹2,195K","₹2,948K"
Axis Bank,2,-1,"₹1,342K","₹2,030K"
Safaltek Software,2,-1,₹45K,₹57K
LTI,2,-1,₹315K,₹873K
Ascena Retail Group,2,-1,"₹1,636K","₹2,173K"
Cognizant Technology Solutions,2,-1,₹383K,₹435K
CarDekho,2,-1,"₹1,076K","₹1,562K"
Datakalp,2,-1,₹10K,₹15K
EY,2,-1,₹814K,"₹1,694K"
Arya.ai,2,-1,₹754K,₹856K
WNS,2,-1,"₹1,067K","₹1,965K"
WNS,2,-1,"₹1,052K","₹1,955K"
AI Analytics Hub,2,-1,₹8K,₹22K
Schlumberger,2,-1,"₹2,438K","₹3,189K"
Postman,2,-1,₹31K,₹35K
CROPIN TECHNOLOGY SOLUTIONS,2,-1,₹13K,₹24K
SigTuple,2,-1,"₹1,175K","₹2,840K"
Novartis,2,-1,₹975K,"₹1,131K"
All On Block,2,-1,₹104K,"₹1,119K"
GAVS Technologies,2,-1,₹947K,"₹1,032K"
Tata Consultancy Services,2,-1,₹14K,₹155K
Absolutdata,2,-1,₹18K,₹21K
QuEST Global,2,-1,₹765K,"₹2,002K"
Marlabs,2,-1,"₹1,057K","₹1,462K"
IBM,2,-1,₹16K,₹41K
L&T Financial Services,2,-1,₹829K,"₹1,050K"
Sagacito,2,-1,₹10K,₹17K
DataMetica,2,-1,₹822K,"₹1,083K"
Robert Bosch India,2,-1,₹16K,₹17K
Fidelity Investments,2,-1,"₹1,557K","₹3,015K"
Climate Connect,2,-1,₹607K,₹923K
Zinnov Management Consulting,2,-1,₹947K,"₹1,124K"
Adobe,2,-1,"₹1,561K","₹5,382K"
LogiNext Solutions,2,-1,₹358K,₹541K
LeewayHertz,2,-1,₹6K,₹8K
ITC Infotech,2,-1,₹388K,₹419K
MakeMyTrip,2,-1,₹842K,"₹3,185K"
Swiss Re,2,-1,₹210K,"₹1,374K"
SetuServ,2,-1,₹385K,"₹9,576K"
Cube26,2,-1,₹747K,"₹1,266K"
Zensar Technologies,2,-1,₹480K,"₹1,573K"
Bristlecone,2,-1,₹964K,"₹1,031K"
Monsanto Company,2,-1,₹962K,"₹2,931K"
Mahindra,2,-1,₹16K,₹22K
SMEcorner,2,-1,₹26K,₹33K
CRISIL,2,-1,₹347K,₹986K
Hinduja Global Solutions,2,-1,"₹1,206K","₹1,619K"
Shipsy,2,-1,₹22K,₹34K
Samsung India Electronics,2,-1,₹152K,₹556K
Algo8.ai,2,-1,₹4K,₹6K
RBL Bank,2,-1,"₹1,316K","₹1,469K"
Intel Corporation,2,-1,"₹1,094K","₹2,730K"
Concentrix,2,-1,₹17K,₹290K
Blue Yonder,2,-1,"₹1,808K","₹1,955K"
Artificial Penetration,2,-1,₹504K,₹627K
Xalt Analytics,2,-1,₹382K,₹440K
Loginworks,2,-1,₹479K,₹521K
Tatvic Analytics,2,-1,₹9K,₹27K
HiLabs,2,-1,"₹1,625K","₹1,995K"
Quadratic Insights,2,-1,₹9K,₹25K
Landmark Group,2,-1,"₹1,449K","₹1,626K"
Simplilearn Solutions,2,-1,₹1K,₹2K
EarlySalary.com,2,-1,₹25K,₹44K
Tata Consultancy Services (North America),2,-1,₹413K,"₹1,660K"
DataMetica,2,-1,₹18K,₹19K
Prophecy Labs,2,-1,"₹1,906K","₹2,058K"
Applied Materials,2,-1,"₹1,102K","₹1,918K"
Impact Analytics,2,-1,₹37K,₹72K
Visa Inc.,2,-1,₹216K,"₹2,664K"
Ola,2,-1,₹51K,₹64K
HDFC Developers,2,-1,"₹1,213K","₹1,703K"
Valiance Solutions,2,-1,₹42K,₹79K
Accenture,2,-1,₹78K,₹138K
NetApp,2,-1,"₹2,696K","₹3,268K"
Dell Technologies,2,-1,₹502K,"₹2,260K"
WyzMindz,2,-1,₹391K,₹424K
Netenrich Inc.,2,-1,₹965K,"₹1,282K"
Spoonshot,2,-1,"₹1,496K","₹2,080K"
EY,2,-1,₹32K,₹34K
FourKites,2,-1,"₹2,520K","₹7,625K"
Cuddle,2,-1,"₹1,798K","₹1,967K"
Aruba Networks,2,-1,"₹1,381K","₹1,561K"
ORMAE,2,-1,₹7K,₹21K
Aptus Data Labs,2,-1,₹506K,"₹1,111K"
Shadowfax Technologies,2,-1,₹942K,"₹1,035K"
Morgan Stanley,1,-1,₹77K,₹83K
Valiance Solutions,1,-1,₹18K,₹19K
Reliance Industries,1,-1,₹48K,₹52K
Comsense Technologies,1,-1,₹10K,₹10K
Knowledge Lens,1,-1,₹509K,₹552K
Big Data Scientists,1,-1,₹756K,₹821K
Other,1,-1,₹968K,"₹1,043K"
Nokia,1,-1,₹418K,₹454K
Valiance Partners,1,-1,"₹1,575K","₹1,712K"
American Express,1,-1,₹37K,₹40K
Gokul Refoils & Solvant,1,-1,₹18K,₹19K
NiYO,1,-1,₹26K,₹28K
Human Network,1,-1,₹947K,"₹1,013K"
Michelin,1,-1,₹979K,"₹1,067K"
Eagle TK Infotech,1,-1,₹577K,₹618K
Nico info systems india,1,-1,₹596K,₹646K
SAP,1,-1,"₹1,612K","₹1,737K"
EdGe Networks,1,-1,₹18K,₹19K
Prognos Health,1,-1,"₹1,522K","₹1,651K"
Ideation Technology Solutions,1,-1,₹42K,₹46K
Venturit,1,-1,₹10K,₹10K
Novartis,1,-1,₹24K,₹27K
HELLO,1,-1,₹88K,₹96K
Redback,1,-1,₹232K,₹251K
john,1,-1,₹224K,₹243K
Xome,1,-1,"₹1,361K","₹1,485K"
Microsoft,1,-1,₹144K,₹156K
TVS Emerald,1,-1,"₹1,237K","₹1,346K"
Lakshya Gupta,1,-1,₹422K,₹454K
Flutura,1,-1,"₹1,030K","₹1,116K"
LCC International,1,-1,₹21K,₹23K
Sigmoid Analytics,1,-1,"₹1,009K","₹1,089K"
QuantZig,1,-1,"₹1,255K","₹1,347K"
Excelerate AI,1,-1,₹24K,₹26K
